,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state,policy_iteration
0,0.20227697690327961,1128,1,1128,1128,0.0,0.0,0.0,0,0
0,0.4586380998293559,2420,2,1292,1292,0.0,0.0,0.0,0,0
0,0.734785544872284,3859,3,1439,1439,0.0,0.0,0.0,0,0
0,0.9672089219093323,5071,4,1212,1212,0.0,0.0,0.0,0,0
0,1.3982534805933635,7009,5,1938,1938,0.0,0.0,0.0,0,0
0,1.6261258085568746,8227,6,1218,1218,0.0,0.0,0.0,0,0
0,1.851260781288147,9430,7,1203,1203,0.0,0.0,0.0,0,0
0,2.111347492535909,10868,8,1438,1438,0.0,0.0,0.0,0,0
0,2.403699060281118,12230,9,1362,1362,0.0,0.0,0.0,0,0
0,2.636420981089274,13444,10,1214,1214,0.0,0.0,0.0,0,0
0,2.920784811178843,14857,11,1413,1413,0.0,0.0,0.0,0,0
0,3.1831427892049153,16286,12,1429,1429,0.0,0.0,0.0,0,0
0,3.4319326798121135,17427,13,1141,1141,0.0,0.0,0.0,0,0
0,3.708272914091746,18856,14,1429,1429,0.0,0.0,0.0,0,0
0,4.161290887991587,20906,15,2050,2050,0.0,0.0,0.0,0,0
0,4.456031501293182,22327,16,1421,1421,0.0,0.0,0.0,0,0
0,4.725998083750407,23770,17,1443,1443,0.0,0.0,0.0,0,0
0,5.006486237049103,25219,18,1449,1449,0.0,0.0,0.0,0,0
0,5.457652207215627,27221,19,2002,2002,0.0,0.0,0.0,0,0
0,5.699672639369965,28469,20,1248,1248,0.0,0.0,0.0,0,0
0,5.958245162169138,29855,21,1386,1386,0.0,0.0,0.0,0,0
0,6.233716626962026,31218,22,1363,1363,0.0,0.0,0.0,0,0
0,6.468467442194621,32423,23,1205,1205,0.0,0.0,0.0,0,0
0,6.707715570926666,33550,24,1127,1127,0.0,0.0,0.0,0,0
0,6.946770946184794,34816,25,1266,1266,0.0,0.0,0.0,0,0
0,7.17943248351415,36084,26,1268,1268,0.0,0.0,0.0,0,0
0,7.449206964174906,37526,27,1442,1442,0.0,0.0,0.0,0,0
0,7.689382123947143,38832,28,1306,1306,0.0,0.0,0.0,0,0
0,7.928491048018137,40089,29,1257,1257,0.0,0.0,0.0,0,0
0,8.184227788448334,41433,30,1344,1344,0.0,0.0,0.0,0,0
0,8.519187204043071,43112,31,1679,834,8.799999999999997,0.2838709677419354,0.0,2,1
0,9.17430393298467,46084,32,2972,1507,9.399999999999984,0.5687499999999994,0.0,0,1
