,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state,policy_iteration
0,0.24437636534372967,1365,1,1365,680,9.199999999999996,9.199999999999996,9.199999999999996,2,0
0,0.670176875591278,3230,2,1865,899,13.099999999999982,11.149999999999988,11.149999999999988,2,0
0,1.5252753973007203,6829,3,3599,1744,13.099999999999975,11.799999999999983,13.099999999999975,1,0
0,1.9047406315803528,8542,4,1713,831,9.899999999999995,11.324999999999985,11.499999999999986,2,0
0,2.2566380381584166,10123,5,1581,747,10.39999999999999,11.139999999999986,10.39999999999999,2,0
0,2.6333814303080243,11955,6,1832,894,10.999999999999986,11.116666666666653,10.699999999999989,2,0
0,3.0148394107818604,13529,7,1574,779,8.099999999999994,10.685714285714273,10.39999999999999,2,0
0,3.2943652788798015,14801,8,1272,631,8.699999999999994,10.43749999999999,10.149999999999991,2,0
0,4.223057953516642,18400,9,3599,1776,16.39999999999996,11.099999999999987,10.39999999999999,1,0
0,4.516889325777689,19668,10,1268,627,9.399999999999993,10.929999999999987,10.149999999999991,2,0
0,5.374102000395457,23267,11,3599,1774,16.399999999999963,11.427272727272712,10.39999999999999,1,0
0,5.866979106267293,25205,12,1938,940,12.39999999999998,11.508333333333319,10.699999999999989,2,0
0,6.261765531698862,26978,13,1773,874,12.399999999999984,11.576923076923062,10.999999999999986,2,0
0,6.98050833940506,30031,14,3053,1534,13.599999999999975,11.721428571428556,11.699999999999983,0,0
0,7.389049482345581,31794,15,1763,860,9.199999999999994,11.553333333333317,10.999999999999986,2,0
0,7.769666663805643,33454,16,1660,824,8.399999999999995,11.356249999999985,10.699999999999989,2,0
0,8.154130868117015,35267,17,1813,911,11.099999999999989,11.341176470588222,10.999999999999986,2,0
0,8.460533165931702,36613,18,1346,660,9.199999999999994,11.222222222222207,10.699999999999989,2,0
0,8.780100766817728,37878,19,1265,624,6.899999999999999,10.99473684210525,10.39999999999999,2,0
0,9.20265238682429,39800,20,1922,931,12.199999999999982,11.054999999999987,10.699999999999989,2,0
0,9.584323195616404,41580,21,1780,889,9.899999999999993,10.999999999999988,10.39999999999999,2,0
0,9.970549166202545,43227,22,1647,807,11.999999999999988,11.045454545454534,10.699999999999989,2,0
0,10.471294156710307,45223,23,1996,972,11.399999999999983,11.060869565217379,10.999999999999986,2,0
0,11.403521835803986,48822,24,3599,1777,11.09999999999998,11.062499999999986,11.049999999999983,1,0
0,11.918823528289796,51117,25,2295,1164,4.5,10.799999999999986,10.999999999999986,0,0
0,12.30304566224416,53011,26,1894,931,10.29999999999999,10.780769230769218,10.699999999999989,2,0
0,12.719326980908711,54886,27,1875,933,12.599999999999982,10.848148148148134,10.999999999999986,2,0
0,13.178301393985748,56978,28,2092,1026,4.200000000000001,10.610714285714272,10.699999999999989,0,0
0,13.810962565739949,59708,29,2730,1340,16.499999999999968,10.81379310344826,10.999999999999986,2,0
0,14.350029544035594,62023,30,2315,1133,4.799999999999999,10.613333333333319,10.699999999999989,0,0
0,15.171516482035319,65622,31,3599,1759,25.70000000000006,11.099999999999987,10.999999999999986,1,1
0,15.502629065513611,67265,32,1643,815,8.099999999999998,11.00624999999999,10.699999999999989,2,1
0,15.870435702800751,69021,33,1756,874,10.599999999999989,10.993939393939383,10.599999999999989,2,1
0,16.324367304642994,70986,34,1965,976,10.199999999999989,10.970588235294107,10.49999999999999,2,1
0,16.69573495388031,72680,35,1694,840,10.099999999999993,10.945714285714274,10.39999999999999,2,1
0,17.37578070561091,75551,36,2871,1430,12.899999999999979,10.99999999999999,10.49999999999999,2,1
0,17.778640103340148,77262,37,1711,852,11.799999999999985,11.02162162162161,10.599999999999989,2,1
0,18.420644382635754,80300,38,3038,1531,12.999999999999975,11.073684210526306,10.799999999999986,0,1
0,18.721637582778932,81592,39,1292,647,8.699999999999998,11.012820512820502,10.599999999999989,2,1
0,19.231583722432454,83661,40,2069,1036,11.499999999999984,11.024999999999988,10.799999999999986,2,1
0,19.680074767271677,85402,41,1741,858,8.899999999999999,10.973170731707306,10.599999999999989,2,1
0,20.124776879946392,87082,42,1680,829,10.499999999999995,10.961904761904751,10.549999999999992,2,1
0,20.49061495065689,88782,43,1700,831,11.199999999999987,10.967441860465104,10.599999999999989,2,1
0,20.860861015319824,90404,44,1622,809,9.199999999999992,10.927272727272715,10.549999999999992,2,1
0,21.322935704390208,92405,45,2001,997,14.099999999999978,10.997777777777767,10.599999999999989,2,1
0,21.818917087713878,94422,46,2017,1003,14.999999999999973,11.08478260869564,10.799999999999986,2,1
0,22.165687521298725,96054,47,1632,808,9.799999999999995,11.057446808510628,10.599999999999989,2,1
0,22.85025429725647,98872,48,2818,1391,12.999999999999972,11.097916666666654,10.799999999999986,0,1
0,23.152429966131844,100235,49,1363,672,9.399999999999993,11.063265306122435,10.599999999999989,2,1
0,23.712970252831777,102488,50,2253,1115,17.89999999999997,11.199999999999987,10.799999999999986,2,1
0,24.116293132305145,104396,51,1908,936,15.199999999999978,11.278431372549004,10.999999999999986,2,1
0,24.930309995015463,107995,52,3599,1802,29.300000000000082,11.624999999999988,11.049999999999983,1,1
0,25.43214203516642,110028,53,2033,1020,12.699999999999982,11.64528301886791,11.09999999999998,2,1
0,26.014366499582927,112661,54,2633,1088,5.399999999999997,11.529629629629616,11.049999999999983,0,1
0,26.270798166592915,113824,55,1163,580,7.999999999999998,11.46545454545453,10.999999999999986,2,1
0,26.57262979745865,115199,56,1375,679,9.399999999999997,11.428571428571418,10.799999999999986,2,1
0,26.834625307718913,116333,57,1134,576,7.399999999999999,11.357894736842095,10.599999999999989,2,1
0,27.26651140451431,118118,58,1785,889,9.99999999999999,11.334482758620679,10.549999999999992,2,1
0,27.58622943162918,119563,59,1445,716,8.899999999999999,11.29322033898304,10.499999999999995,2,1
0,27.967761520544688,121164,60,1601,784,8.399999999999995,11.244999999999989,10.449999999999992,2,1
0,28.425860850016274,123176,61,2012,998,11.499999999999982,11.249180327868842,10.499999999999995,2,2
0,28.863919119040172,125303,62,2127,1063,13.599999999999975,11.287096774193538,10.549999999999992,2,2
0,29.340946741898854,127337,63,2034,1005,10.49999999999999,11.274603174603165,10.499999999999995,2,2
0,29.72517193953196,129215,64,1878,934,10.699999999999989,11.26562499999999,10.549999999999992,2,2
0,29.947178423404694,130151,65,936,513,7.899999999999999,11.213846153846143,10.499999999999995,2,2
0,30.43949067989985,132284,66,2133,1061,6.099999999999995,11.136363636363626,10.499999999999993,0,2
0,30.828030463059743,134045,67,1761,870,12.299999999999986,11.153731343283571,10.499999999999995,2,2
0,31.200458975632987,135792,68,1747,866,10.299999999999995,11.141176470588224,10.499999999999993,2,2
0,31.81907244523366,138621,69,2829,1463,11.499999999999975,11.146376811594191,10.499999999999995,0,2
0,32.18027262687683,140322,70,1701,839,9.899999999999993,11.128571428571417,10.499999999999993,2,2
0,32.540066893895464,142043,71,1721,861,10.79999999999999,11.123943661971818,10.499999999999995,2,2
0,32.941904644171395,143805,72,1762,875,9.699999999999989,11.104166666666655,10.499999999999993,2,2
0,33.37229421536128,145716,73,1911,950,10.799999999999986,11.099999999999989,10.499999999999995,2,2
0,33.659942694505055,147002,74,1286,658,9.899999999999993,11.083783783783772,10.499999999999993,2,2
0,34.15029398997625,149321,75,2319,1159,7.599999999999991,11.037333333333322,10.49999999999999,0,2
0,34.47428899208705,150950,76,1629,811,8.799999999999997,11.007894736842093,10.449999999999989,2,2
0,34.87213311195374,152705,77,1755,880,10.399999999999986,10.999999999999988,10.39999999999999,2,2
0,35.339188528060916,154765,78,2060,1032,14.099999999999975,11.039743589743578,10.449999999999989,2,2
0,35.77774600187937,156756,79,1991,980,4.000000000000002,10.950632911392393,10.39999999999999,0,2
0,36.387133026123045,159847,80,3091,1494,15.999999999999975,11.01374999999999,10.449999999999989,2,2
0,36.722731133302055,161250,81,1403,695,8.399999999999995,10.98148148148147,10.39999999999999,2,2
0,37.517391506830855,164849,82,3599,1757,27.700000000000074,11.185365853658526,10.449999999999989,1,2
0,38.269010742505394,168448,83,3599,1783,26.400000000000084,11.368674698795171,10.49999999999999,1,2
0,38.74266898234685,170451,84,2003,996,13.699999999999976,11.396428571428562,10.499999999999993,2,2
0,39.22753612200419,172764,85,2313,1156,15.699999999999969,11.447058823529401,10.499999999999995,2,2
0,39.59376955429713,174502,86,1738,868,9.699999999999994,11.426744186046502,10.499999999999993,2,2
0,39.93378350337346,175949,87,1447,716,7.999999999999998,11.38735632183907,10.49999999999999,2,2
0,40.43162937164307,177984,88,2035,1010,11.499999999999986,11.388636363636353,10.499999999999993,2,2
0,40.774917781353,179163,89,1179,586,6.999999999999997,11.339325842696619,10.49999999999999,2,2
0,41.27988107999166,181151,90,1988,995,13.599999999999982,11.364444444444436,10.499999999999993,2,2
0,41.854480266571045,183173,91,2022,1006,12.79999999999998,11.380219780219772,10.499999999999995,2,3
0,42.32512882947922,185014,92,1841,916,10.399999999999991,11.369565217391298,10.499999999999993,2,3
0,43.06809905767441,187544,93,2530,1262,15.999999999999966,11.41935483870967,10.499999999999995,2,3
0,43.62892774740855,189924,94,2380,1183,16.699999999999967,11.47553191489361,10.549999999999992,2,3
0,43.99097779591878,191293,95,1369,687,9.299999999999995,11.452631578947361,10.499999999999995,2,3
0,44.5163370291392,193329,96,2036,1007,13.19999999999998,11.470833333333324,10.549999999999992,2,3
0,44.94700904687246,195061,97,1732,851,11.199999999999987,11.468041237113393,10.599999999999989,2,3
0,45.51830314000448,197333,98,2272,1135,10.699999999999983,11.460204081632645,10.649999999999986,0,3
0,46.53174592256546,200932,99,3599,1747,22.200000000000042,11.56868686868686,10.699999999999983,1,3
0,47.07457634607951,202772,100,1840,902,15.899999999999968,11.611999999999991,10.699999999999985,2,3
0,47.57731060187022,204541,101,1769,878,11.199999999999985,11.6079207920792,10.699999999999989,2,3
0,48.065811530749,206256,102,1715,832,9.69999999999999,11.612871287128705,10.699999999999989,2,3
0,48.46550857226054,207811,103,1555,770,8.999999999999998,11.572277227722763,10.699999999999983,2,3
0,49.26688404480616,210813,104,3002,1484,11.599999999999978,11.557425742574248,10.699999999999983,0,3
0,49.60865323543548,211994,105,1181,596,7.399999999999997,11.532673267326725,10.699999999999983,2,3
